show_id,type,title,director,cast,date_added,release_year,rating,duration,listed_in,plataforma,age_category,genres
s7366,Movie,Mac & Devin Go to High School,Dylan C. Brown,"Snoop Dogg, Wiz Khalifa, Mike Epps, Teairra Mari, Derek Kane, Luenell, Teni Panosian, Paul Iacono, Andy Milonakis, Mystikal",2016-04-20,2012,R,76 min,Comedies,netflix,Para adultos,['Comedies']
s7367,Movie,Macchli Jal Ki Rani Hai,Debaloy Dey,"Swara Bhaskar, Bhanu Uday, Murli Sharma, Deep Raj Rana, Reema Debnath, Hemant Pandey, Saurabh Dubey, Sakha Kalyani",2017-10-15,2014,TV-MA,118 min,"Horror Movies, International Movies",netflix,Para adultos,"['Horror Movies', ' International Movies']"
s7368,Movie,Mad Max,George Miller,"Mel Gibson, Joanne Samuel, Hugh Keays-Byrne, Steve Bisley, Tim Burns, Roger Ward, Lisa Aldenhoven, Bertrand Cadart",2020-08-01,1979,R,93 min,"Action & Adventure, Classic Movies, Cult Movies",netflix,Para adultos,"['Action & Adventure', ' Classic Movies', ' Cult Movies']"
s7369,TV Show,Mad Men,Desconocido,"Jon Hamm, Elisabeth Moss, Vincent Kartheiser, January Jones, Christina Hendricks, Aaron Staton, Rich Sommer, John Slattery, Kiernan Shipka, Robert Morse, Michael Gladis, Christopher Stanley, Bryan Batt, Jared Harris, Jessica ParÃ©, Alison Brie, Jay R. Ferguson, Ben Feldman, Mark Moses, Alexa Alemanni, Julie McNiven",2015-03-22,2014,TV-14,7 Seasons,TV Dramas,netflix,Para adolescentes,['TV Dramas']
s7370,Movie,Mad Money,"Callie Khouri, Jesse V. Johnson","Diane Keaton, Queen Latifah, Katie Holmes, Ted Danson, Roger Cross, Adam Rothenberg, Stephen Root, Christopher McDonald, Meagen Fay, J.C. MacKenzie, Finesse Mitchell, Eric Keenleyside",2019-11-01,2008,PG-13,99 min,Comedies,netflix,Para adolescentes,['Comedies']
s7371,Movie,Mad Ron's Prevues from Hell,Jim Monaco,"Nick Pawlow, Jordu Schell, Jay Kushwara, Michael Townsend Wright, Anthony Kelly, Happy Goldsplatt, Ron Roccia, Fred Pomerleau, Joe Amodei, Nicholas Kitsopoulos",2010-11-01,1987,NR,84 min,"Cult Movies, Horror Movies",netflix,Desconocido,"['Cult Movies', ' Horror Movies']"
s7372,Movie,Mad World,Chun Wong,"Shawn Yue, Eric Tsang, Elaine Jin, Charmaine Fong",2018-09-20,2016,TV-MA,102 min,"Dramas, International Movies",netflix,Para adultos,"['Dramas', ' International Movies']"
s7373,Movie,Madaari,Nishikant Kamat,"Irrfan Khan, Jimmy Shergill, Vishesh Bansal, Tushar Dalvi, Nitish Pandey",2017-02-17,2016,TV-14,134 min,"Dramas, Independent Movies, International Movies",netflix,Para adolescentes,"['Dramas', ' Independent Movies', ' International Movies']"
s7374,Movie,Maddman: The Steve Madden Story,Ben Patterson,Steve Madden,2018-01-01,2017,TV-MA,78 min,Documentaries,netflix,Para adultos,['Documentaries']
s7375,Movie,Madre,Aaron Burns,"Daniela RamÃ­rez, Cristobal Tapia Montt, Aida, MatÃ­as Bassi, NicolÃ¡s DurÃ¡n, Ignacia Allamand",2017-08-26,2016,TV-MA,95 min,"International Movies, Thrillers",netflix,Para adultos,"['International Movies', ' Thrillers']"
